DOI,MLA,APA,Chicago,Harvard,Vancouver
"10.1109/ISRITI.2018.8864473","Eridani, Dania, and Eko Didik Widianto. “Performance of Sensors Monitoring System Using Raspberry Pi through MQTT Protocol.” 2018 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI), IEEE, Nov. 2018. Crossref, https://doi.org/10.1109/isriti.2018.8864473.","Eridani, D., & Widianto, E. D. (2018). Performance of Sensors Monitoring System using Raspberry Pi through MQTT Protocol. In 2018 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI). 2018 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI). IEEE. https://doi.org/10.1109/isriti.2018.8864473","Eridani, Dania, and Eko Didik Widianto. 2018. “Performance of Sensors Monitoring System Using Raspberry Pi through MQTT Protocol.” 2018 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI). IEEE. https://doi.org/10.1109/isriti.2018.8864473.","Eridani, D. and Widianto, E.D. (2018) “Performance of Sensors Monitoring System using Raspberry Pi through MQTT Protocol,” 2018 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI). 2018 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI), IEEE. Available at: https://doi.org/10.1109/isriti.2018.8864473.","Eridani D, Widianto ED. Performance of Sensors Monitoring System using Raspberry Pi through MQTT Protocol. 2018 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI) 2018. https://doi.org/10.1109/isriti.2018.8864473."
"10.1109/MCC.2018.053711669","Nadjaran Toosi, Adel, et al. “CLOUDS-Pi: A Low-Cost Raspberry-Pi Based Micro Data Center for Software-Defined Cloud Computing.” IEEE Cloud Computing, vol. 5, no. 5, Institute of Electrical and Electronics Engineers (IEEE), Sept. 2018, pp. 81–91. Crossref, https://doi.org/10.1109/mcc.2018.053711669.","Nadjaran Toosi, A., Son, J., & Buyya, R. (2018). CLOUDS-Pi: A Low-Cost Raspberry-Pi based Micro Data Center for Software-Defined Cloud Computing. In IEEE Cloud Computing (Vol. 5, Issue 5, pp. 81–91). Institute of Electrical and Electronics Engineers (IEEE). https://doi.org/10.1109/mcc.2018.053711669","Nadjaran Toosi, Adel, Jungmin Son, and Rajkumar Buyya. 2018. “CLOUDS-Pi: A Low-Cost Raspberry-Pi Based Micro Data Center for Software-Defined Cloud Computing.” IEEE Cloud Computing. Institute of Electrical and Electronics Engineers (IEEE). https://doi.org/10.1109/mcc.2018.053711669.","Nadjaran Toosi, A., Son, J. and Buyya, R. (2018) “CLOUDS-Pi: A Low-Cost Raspberry-Pi based Micro Data Center for Software-Defined Cloud Computing,” IEEE Cloud Computing. Institute of Electrical and Electronics Engineers (IEEE). Available at: https://doi.org/10.1109/mcc.2018.053711669.","Nadjaran Toosi A, Son J, Buyya R. CLOUDS-Pi: A Low-Cost Raspberry-Pi based Micro Data Center for Software-Defined Cloud Computing. IEEE Cloud Comput 2018;5:81–91. https://doi.org/10.1109/mcc.2018.053711669."
"10.1109/ICOEI.2018.8553951","Guru Dineshkumar, A., et al. “Design and Implementation of Intelligent Headlight System for Improvised Safety in Vehicles.” 2018 2nd International Conference on Trends in Electronics and Informatics (ICOEI), IEEE, May 2018. Crossref, https://doi.org/10.1109/icoei.2018.8553951.","Guru Dineshkumar, A., Singh, A. kumar, & Karthikeyan, B. (2018). Design and Implementation of Intelligent Headlight System for Improvised Safety in Vehicles. In 2018 2nd International Conference on Trends in Electronics and Informatics (ICOEI). 2018 2nd International Conference on Trends in Electronics and Informatics (ICOEI). IEEE. https://doi.org/10.1109/icoei.2018.8553951","Guru Dineshkumar, A., Abhay kumar Singh, and B Karthikeyan. 2018. “Design and Implementation of Intelligent Headlight System for Improvised Safety in Vehicles.” 2018 2nd International Conference on Trends in Electronics and Informatics (ICOEI). IEEE. https://doi.org/10.1109/icoei.2018.8553951.","Guru Dineshkumar, A., Singh, A. kumar and Karthikeyan, B. (2018) “Design and Implementation of Intelligent Headlight System for Improvised Safety in Vehicles,” 2018 2nd International Conference on Trends in Electronics and Informatics (ICOEI). 2018 2nd International Conference on Trends in Electronics and Informatics (ICOEI), IEEE. Available at: https://doi.org/10.1109/icoei.2018.8553951.","Guru Dineshkumar A, Singh A kumar, Karthikeyan B. Design and Implementation of Intelligent Headlight System for Improvised Safety in Vehicles. 2018 2nd International Conference on Trends in Electronics and Informatics (ICOEI) 2018. https://doi.org/10.1109/icoei.2018.8553951."
"10.11591/ijeecs.v25.i1.pp113-119","Bhaskaran, Bindu, et al. “Automatic Delivery-Scam Prevention Using Raspberry-Pi.” Indonesian Journal of Electrical Engineering and Computer Science, vol. 25, no. 1, Institute of Advanced Engineering and Science, 1 Jan. 2022, p. 113. Crossref, https://doi.org/10.11591/ijeecs.v25.i1.pp113-119.","Bhaskaran, B., Gunasekaran, B. K., & Velumani, S. (2022). Automatic delivery-scam prevention using Raspberry-Pi. In Indonesian Journal of Electrical Engineering and Computer Science (Vol. 25, Issue 1, p. 113). Institute of Advanced Engineering and Science. https://doi.org/10.11591/ijeecs.v25.i1.pp113-119","Bhaskaran, Bindu, Barath Krishna Gunasekaran, and Srinivasan Velumani. 2022. “Automatic Delivery-Scam Prevention Using Raspberry-Pi.” Indonesian Journal of Electrical Engineering and Computer Science. Institute of Advanced Engineering and Science. https://doi.org/10.11591/ijeecs.v25.i1.pp113-119.","Bhaskaran, B., Gunasekaran, B.K. and Velumani, S. (2022) “Automatic delivery-scam prevention using Raspberry-Pi,” Indonesian Journal of Electrical Engineering and Computer Science. Institute of Advanced Engineering and Science. Available at: https://doi.org/10.11591/ijeecs.v25.i1.pp113-119.","Bhaskaran B, Gunasekaran BK, Velumani S. Automatic delivery-scam prevention using Raspberry-Pi. IJEECS 2022;25:113. https://doi.org/10.11591/ijeecs.v25.i1.pp113-119."
"10.1109/ICICT54344.2022.9850727","S, Abhishek. R., et al. “Design of Solar PV Emulator Using Raspberry Pi Controller.” 2022 International Conference on Inventive Computation Technologies (ICICT), IEEE, 20 July 2022. Crossref, https://doi.org/10.1109/icict54344.2022.9850727.","S, Abhishek. R., A, D. K., S, H., S, H., & Saravanan, S. (2022). Design of Solar PV Emulator using Raspberry Pi Controller. In 2022 International Conference on Inventive Computation Technologies (ICICT). 2022 International Conference on Inventive Computation Technologies (ICICT). IEEE. https://doi.org/10.1109/icict54344.2022.9850727","S, Abhishek. R., Dhanus Kanth A, Hariharan S, Hariharasudhan S, and S. Saravanan. 2022. “Design of Solar PV Emulator Using Raspberry Pi Controller.” 2022 International Conference on Inventive Computation Technologies (ICICT). IEEE. https://doi.org/10.1109/icict54344.2022.9850727.","S, Abhishek.R. et al. (2022) “Design of Solar PV Emulator using Raspberry Pi Controller,” 2022 International Conference on Inventive Computation Technologies (ICICT). 2022 International Conference on Inventive Computation Technologies (ICICT), IEEE. Available at: https://doi.org/10.1109/icict54344.2022.9850727.","S AbhishekR, A DK, S Hariharan, S Hariharasudhan, Saravanan S. Design of Solar PV Emulator using Raspberry Pi Controller. 2022 International Conference on Inventive Computation Technologies (ICICT) 2022. https://doi.org/10.1109/icict54344.2022.9850727."
"10.1007/978-981-19-2177-3_13","Rufus, M., et al. “IoT-Based Security Camera Bot Using Raspberry Pi.” Lecture Notes in Electrical Engineering, Springer Nature Singapore, 2022, pp. 129–41. Crossref, https://doi.org/10.1007/978-981-19-2177-3_13.","Rufus, M., John Paul, J., Merlin Gilbert Raj, S., & Shine Let, G. (2022). IoT-Based Security Camera Bot Using Raspberry Pi. In Lecture Notes in Electrical Engineering (pp. 129–141). Springer Nature Singapore. https://doi.org/10.1007/978-981-19-2177-3_13","Rufus, M., J. John Paul, S. Merlin Gilbert Raj, and G. Shine Let. 2022. “IoT-Based Security Camera Bot Using Raspberry Pi.” Lecture Notes in Electrical Engineering. Springer Nature Singapore. https://doi.org/10.1007/978-981-19-2177-3_13.","Rufus, M. et al. (2022) “IoT-Based Security Camera Bot Using Raspberry Pi,” Lecture Notes in Electrical Engineering. Springer Nature Singapore. Available at: https://doi.org/10.1007/978-981-19-2177-3_13.","Rufus M, John Paul J, Merlin Gilbert Raj S, Shine Let G. IoT-Based Security Camera Bot Using Raspberry Pi. Lecture Notes in Electrical Engineering 2022:129–41. https://doi.org/10.1007/978-981-19-2177-3_13."
"10.1109/CTCEEC.2017.8455140","Harish Kumar, B. “WSN Based Automatic Irrigation and Security System Using Raspberry Pi Board.” 2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC), IEEE, Sept. 2017. Crossref, https://doi.org/10.1109/ctceec.2017.8455140.","Harish Kumar, B. (2017). WSN based Automatic Irrigation and Security System using Raspberry Pi Board. In 2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC). 2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC). IEEE. https://doi.org/10.1109/ctceec.2017.8455140","Harish Kumar, B. 2017. “WSN Based Automatic Irrigation and Security System Using Raspberry Pi Board.” 2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC). IEEE. https://doi.org/10.1109/ctceec.2017.8455140.","Harish Kumar, B. (2017) “WSN based Automatic Irrigation and Security System using Raspberry Pi Board,” 2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC). 2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC), IEEE. Available at: https://doi.org/10.1109/ctceec.2017.8455140.","Harish Kumar B. WSN based Automatic Irrigation and Security System using Raspberry Pi Board. 2017 International Conference on Current Trends in Computer, Electrical, Electronics and Communication (CTCEEC) 2017. https://doi.org/10.1109/ctceec.2017.8455140."
"10.1109/ICISET.2018.8745543","Saha, Sajal, et al. “IoT Based Automated Fish Farm Aquaculture Monitoring System.” 2018 International Conference on Innovations in Science, Engineering and Technology (ICISET), IEEE, Oct. 2018. Crossref, https://doi.org/10.1109/iciset.2018.8745543.","Saha, S., Hasan Rajib, R., & Kabir, S. (2018). IoT Based Automated Fish Farm Aquaculture Monitoring System. In 2018 International Conference on Innovations in Science, Engineering and Technology (ICISET). 2018 International Conference on Innovations in Science, Engineering and Technology (ICISET). IEEE. https://doi.org/10.1109/iciset.2018.8745543","Saha, Sajal, Rakibul Hasan Rajib, and Sumaiya Kabir. 2018. “IoT Based Automated Fish Farm Aquaculture Monitoring System.” 2018 International Conference on Innovations in Science, Engineering and Technology (ICISET). IEEE. https://doi.org/10.1109/iciset.2018.8745543.","Saha, S., Hasan Rajib, R. and Kabir, S. (2018) “IoT Based Automated Fish Farm Aquaculture Monitoring System,” 2018 International Conference on Innovations in Science, Engineering and Technology (ICISET). 2018 International Conference on Innovations in Science, Engineering and Technology (ICISET), IEEE. Available at: https://doi.org/10.1109/iciset.2018.8745543.","Saha S, Hasan Rajib R, Kabir S. IoT Based Automated Fish Farm Aquaculture Monitoring System. 2018 International Conference on Innovations in Science, Engineering and Technology (ICISET) 2018. https://doi.org/10.1109/iciset.2018.8745543."
"10.1109/GCWCN.2018.8668647","Diwedi, Diwakar V., and Satish J. Sharma. “Development of a Low Cost Cluster Computer Using Raspberry Pi.” 2018 IEEE Global Conference on Wireless Computing and Networking (GCWCN), IEEE, Nov. 2018. Crossref, https://doi.org/10.1109/gcwcn.2018.8668647.","Diwedi, D. V., & Sharma, S. J. (2018). Development of a Low Cost Cluster Computer Using Raspberry Pi. In 2018 IEEE Global Conference on Wireless Computing and Networking (GCWCN). 2018 IEEE Global Conference on Wireless Computing and Networking (GCWCN). IEEE. https://doi.org/10.1109/gcwcn.2018.8668647","Diwedi, Diwakar V., and Satish J. Sharma. 2018. “Development of a Low Cost Cluster Computer Using Raspberry Pi.” 2018 IEEE Global Conference on Wireless Computing and Networking (GCWCN). IEEE. https://doi.org/10.1109/gcwcn.2018.8668647.","Diwedi, D.V. and Sharma, S.J. (2018) “Development of a Low Cost Cluster Computer Using Raspberry Pi,” 2018 IEEE Global Conference on Wireless Computing and Networking (GCWCN). 2018 IEEE Global Conference on Wireless Computing and Networking (GCWCN), IEEE. Available at: https://doi.org/10.1109/gcwcn.2018.8668647.","Diwedi DV, Sharma SJ. Development of a Low Cost Cluster Computer Using Raspberry Pi. 2018 IEEE Global Conference on Wireless Computing and Networking (GCWCN) 2018. https://doi.org/10.1109/gcwcn.2018.8668647."
"10.1109/CloudCom.2013.121","Abrahamsson, Pekka, et al. “Affordable and Energy-Efficient Cloud Computing Clusters: The Bolzano Raspberry Pi Cloud Cluster Experiment.” 2013 IEEE 5th International Conference on Cloud Computing Technology and Science, IEEE, Dec. 2013. Crossref, https://doi.org/10.1109/cloudcom.2013.121.","Abrahamsson, P., Helmer, S., Phaphoom, N., Nicolodi, L., Preda, N., Miori, L., Angriman, M., Rikkila, J., Wang, X., Hamily, K., & Bugoloni, S. (2013). Affordable and Energy-Efficient Cloud Computing Clusters: The Bolzano Raspberry Pi Cloud Cluster Experiment. In 2013 IEEE 5th International Conference on Cloud Computing Technology and Science. 2013 IEEE 5th International Conference on Cloud Computing Technology and Science (CloudCom). IEEE. https://doi.org/10.1109/cloudcom.2013.121","Abrahamsson, Pekka, Sven Helmer, Nattakarn Phaphoom, Lorenzo Nicolodi, Nick Preda, Lorenzo Miori, Matteo Angriman, et al. 2013. “Affordable and Energy-Efficient Cloud Computing Clusters: The Bolzano Raspberry Pi Cloud Cluster Experiment.” 2013 IEEE 5th International Conference on Cloud Computing Technology and Science. IEEE. https://doi.org/10.1109/cloudcom.2013.121.","Abrahamsson, P. et al. (2013) “Affordable and Energy-Efficient Cloud Computing Clusters: The Bolzano Raspberry Pi Cloud Cluster Experiment,” 2013 IEEE 5th International Conference on Cloud Computing Technology and Science. 2013 IEEE 5th International Conference on Cloud Computing Technology and Science (CloudCom), IEEE. Available at: https://doi.org/10.1109/cloudcom.2013.121.","Abrahamsson P, Helmer S, Phaphoom N, Nicolodi L, Preda N, Miori L, et al. Affordable and Energy-Efficient Cloud Computing Clusters: The Bolzano Raspberry Pi Cloud Cluster Experiment. 2013 IEEE 5th International Conference on Cloud Computing Technology and Science 2013. https://doi.org/10.1109/cloudcom.2013.121."
"10.1109/HNICEM54116.2021.9732050","Buenconsejo, Lyndon T., and Noel B. Linsangan. “Classification of Healthy and Unhealthy Abaca Leaf Using a Convolutional Neural Network (CNN).” 2021 IEEE 13th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM), IEEE, 28 Nov. 2021. Crossref, https://doi.org/10.1109/hnicem54116.2021.9732050.","Buenconsejo, L. T., & Linsangan, N. B. (2021). Classification of Healthy and Unhealthy Abaca leaf using a Convolutional Neural Network (CNN). In 2021 IEEE 13th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM). 2021 IEEE 13th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM). IEEE. https://doi.org/10.1109/hnicem54116.2021.9732050","Buenconsejo, Lyndon T., and Noel B. Linsangan. 2021. “Classification of Healthy and Unhealthy Abaca Leaf Using a Convolutional Neural Network (CNN).” 2021 IEEE 13th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM). IEEE. https://doi.org/10.1109/hnicem54116.2021.9732050.","Buenconsejo, L.T. and Linsangan, N.B. (2021) “Classification of Healthy and Unhealthy Abaca leaf using a Convolutional Neural Network (CNN),” 2021 IEEE 13th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM). 2021 IEEE 13th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM), IEEE. Available at: https://doi.org/10.1109/hnicem54116.2021.9732050.","Buenconsejo LT, Linsangan NB. Classification of Healthy and Unhealthy Abaca leaf using a Convolutional Neural Network (CNN). 2021 IEEE 13th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM) 2021. https://doi.org/10.1109/hnicem54116.2021.9732050."
"10.1109/UEMCON.2016.7777909","Piao, Xuewei, et al. “The Real Implementation of NDN Forwarding Strategy on Android Smartphone.” 2016 IEEE 7th Annual Ubiquitous Computing, Electronics &amp; Mobile Communication Conference (UEMCON), IEEE, Oct. 2016. Crossref, https://doi.org/10.1109/uemcon.2016.7777909.","Piao, X., Huang, L., Yuan, K., Yuan, J., & Lei, K. (2016). The real implementation of NDN forwarding strategy on Android smartphone. In 2016 IEEE 7th Annual Ubiquitous Computing, Electronics &amp; Mobile Communication Conference (UEMCON). 2016 IEEE 7th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON). IEEE. https://doi.org/10.1109/uemcon.2016.7777909","Piao, Xuewei, Lei Huang, Kaiqi Yuan, Jie Yuan, and Kai Lei. 2016. “The Real Implementation of NDN Forwarding Strategy on Android Smartphone.” 2016 IEEE 7th Annual Ubiquitous Computing, Electronics &amp; Mobile Communication Conference (UEMCON). IEEE. https://doi.org/10.1109/uemcon.2016.7777909.","Piao, X. et al. (2016) “The real implementation of NDN forwarding strategy on Android smartphone,” 2016 IEEE 7th Annual Ubiquitous Computing, Electronics &amp; Mobile Communication Conference (UEMCON). 2016 IEEE 7th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON), IEEE. Available at: https://doi.org/10.1109/uemcon.2016.7777909.","Piao X, Huang L, Yuan K, Yuan J, Lei K. The real implementation of NDN forwarding strategy on Android smartphone. 2016 IEEE 7th Annual Ubiquitous Computing, Electronics &amp; Mobile Communication Conference (UEMCON) 2016. https://doi.org/10.1109/uemcon.2016.7777909."
"10.1109/GCCE.2018.8574633","Irwansyah, et al. “‘Open-Source’ Raspberry Pi Hearing Assistance Device with Consumer Hardware.” 2018 IEEE 7th Global Conference on Consumer Electronics (GCCE), IEEE, Oct. 2018. Crossref, https://doi.org/10.1109/gcce.2018.8574633.","Irwansyah, Andra, M. B., Kiyota, K., Mitarai, K., & Usagawa, T. (2018). “Open-Source” Raspberry Pi Hearing Assistance Device with Consumer Hardware. In 2018 IEEE 7th Global Conference on Consumer Electronics (GCCE). 2018 IEEE 7th Global Conference on Consumer Electronics (GCCE). IEEE. https://doi.org/10.1109/gcce.2018.8574633","Irwansyah, Muhammad Bagus Andra, Kai Kiyota, Koki Mitarai, and Tsuyoshi Usagawa. 2018. “‘Open-Source’ Raspberry Pi Hearing Assistance Device with Consumer Hardware.” 2018 IEEE 7th Global Conference on Consumer Electronics (GCCE). IEEE. https://doi.org/10.1109/gcce.2018.8574633.","Irwansyah et al. (2018) “‘Open-Source’ Raspberry Pi Hearing Assistance Device with Consumer Hardware,” 2018 IEEE 7th Global Conference on Consumer Electronics (GCCE). 2018 IEEE 7th Global Conference on Consumer Electronics (GCCE), IEEE. Available at: https://doi.org/10.1109/gcce.2018.8574633.","Irwansyah, Andra MB, Kiyota K, Mitarai K, Usagawa T. “Open-Source” Raspberry Pi Hearing Assistance Device with Consumer Hardware. 2018 IEEE 7th Global Conference on Consumer Electronics (GCCE) 2018. https://doi.org/10.1109/gcce.2018.8574633."
"10.3390/machines10030193","León Araujo, Hernando, et al. “Autonomous Mobile Robot Implemented in LEGO EV3 Integrated with Raspberry Pi to Use Android-Based Vision Control Algorithms for Human-Machine Interaction.” Machines, vol. 10, no. 3, MDPI AG, 7 Mar. 2022, p. 193. Crossref, https://doi.org/10.3390/machines10030193.","León Araujo, H., Gulfo Agudelo, J., Crawford Vidal, R., Ardila Uribe, J., Remolina, J. F., Serpa-Imbett, C., López, A. M., & Patiño Guevara, D. (2022). Autonomous Mobile Robot Implemented in LEGO EV3 Integrated with Raspberry Pi to Use Android-Based Vision Control Algorithms for Human-Machine Interaction. In Machines (Vol. 10, Issue 3, p. 193). MDPI AG. https://doi.org/10.3390/machines10030193","León Araujo, Hernando, Jesús Gulfo Agudelo, Richard Crawford Vidal, Jorge Ardila Uribe, John Freddy Remolina, Claudia Serpa-Imbett, Ana Milena López, and Diego Patiño Guevara. 2022. “Autonomous Mobile Robot Implemented in LEGO EV3 Integrated with Raspberry Pi to Use Android-Based Vision Control Algorithms for Human-Machine Interaction.” Machines. MDPI AG. https://doi.org/10.3390/machines10030193.","León Araujo, H. et al. (2022) “Autonomous Mobile Robot Implemented in LEGO EV3 Integrated with Raspberry Pi to Use Android-Based Vision Control Algorithms for Human-Machine Interaction,” Machines. MDPI AG. Available at: https://doi.org/10.3390/machines10030193.","León Araujo H, Gulfo Agudelo J, Crawford Vidal R, Ardila Uribe J, Remolina JF, Serpa-Imbett C, et al. Autonomous Mobile Robot Implemented in LEGO EV3 Integrated with Raspberry Pi to Use Android-Based Vision Control Algorithms for Human-Machine Interaction. Machines 2022;10:193. https://doi.org/10.3390/machines10030193."
"10.1088/1742-6596/1477/5/052013","Mastang, and M. A. Pahmi. “Development of Raspberry Pi Applied to Real-Time Monitoring of Overall Equipment Effectiveness (OEE).” Journal of Physics: Conference Series, vol. 1477, no. 5, IOP Publishing, 1 Mar. 2020, p. 052013. Crossref, https://doi.org/10.1088/1742-6596/1477/5/052013.","Mastang, & Pahmi, M. A. (2020). Development of Raspberry Pi applied to Real-Time Monitoring of Overall Equipment Effectiveness (OEE). In Journal of Physics: Conference Series (Vol. 1477, Issue 5, p. 052013). IOP Publishing. https://doi.org/10.1088/1742-6596/1477/5/052013","Mastang, and M A Pahmi. 2020. “Development of Raspberry Pi Applied to Real-Time Monitoring of Overall Equipment Effectiveness (OEE).” Journal of Physics: Conference Series. IOP Publishing. https://doi.org/10.1088/1742-6596/1477/5/052013.","Mastang and Pahmi, M.A. (2020) “Development of Raspberry Pi applied to Real-Time Monitoring of Overall Equipment Effectiveness (OEE),” Journal of Physics: Conference Series. IOP Publishing. Available at: https://doi.org/10.1088/1742-6596/1477/5/052013.","Mastang, Pahmi MA. Development of Raspberry Pi applied to Real-Time Monitoring of Overall Equipment Effectiveness (OEE). J Phys: Conf Ser 2020;1477:052013. https://doi.org/10.1088/1742-6596/1477/5/052013."
"10.1109/ICACCCT.2016.7831706","Sharon, Vishnu, et al. “Stego Pi: An Automated Security Module for Text and Image Steganography Using Raspberry Pi.” 2016 International Conference on Advanced Communication Control and Computing Technologies (ICACCCT), IEEE, May 2016. Crossref, https://doi.org/10.1109/icaccct.2016.7831706.","Sharon, V., Karthikeyan, B., Chakravarthy, S., & Vaithiyanathan, V. (2016). Stego Pi: An automated security module for text and image steganography using Raspberry Pi. In 2016 International Conference on Advanced Communication Control and Computing Technologies (ICACCCT). 2016 International Conference on Advanced Communication Control and Computing Technologies (ICACCCT). IEEE. https://doi.org/10.1109/icaccct.2016.7831706","Sharon, Vishnu, B Karthikeyan, Sudharshan Chakravarthy, and V Vaithiyanathan. 2016. “Stego Pi: An Automated Security Module for Text and Image Steganography Using Raspberry Pi.” 2016 International Conference on Advanced Communication Control and Computing Technologies (ICACCCT). IEEE. https://doi.org/10.1109/icaccct.2016.7831706.","Sharon, V. et al. (2016) “Stego Pi: An automated security module for text and image steganography using Raspberry Pi,” 2016 International Conference on Advanced Communication Control and Computing Technologies (ICACCCT). 2016 International Conference on Advanced Communication Control and Computing Technologies (ICACCCT), IEEE. Available at: https://doi.org/10.1109/icaccct.2016.7831706.","Sharon V, Karthikeyan B, Chakravarthy S, Vaithiyanathan V. Stego Pi: An automated security module for text and image steganography using Raspberry Pi. 2016 International Conference on Advanced Communication Control and Computing Technologies (ICACCCT) 2016. https://doi.org/10.1109/icaccct.2016.7831706."
"10.1007/978-3-319-12967-9_2","Abtahi, F., et al. “An Affordable ECG and Respiration Monitoring System Based on Raspberry PI and ADAS1000: First Step towards Homecare Applications.” IFMBE Proceedings, Springer International Publishing, 2015, pp. 5–8. Crossref, https://doi.org/10.1007/978-3-319-12967-9_2.","Abtahi, F., Aslamy, B., Boujabir, I., Seoane, F., & Lindecrantz, K. (2015). An Affordable ECG and Respiration Monitoring System Based on Raspberry PI and ADAS1000: First Step towards Homecare Applications. In IFMBE Proceedings (pp. 5–8). Springer International Publishing. https://doi.org/10.1007/978-3-319-12967-9_2","Abtahi, F., B. Aslamy, I. Boujabir, F. Seoane, and K. Lindecrantz. 2015. “An Affordable ECG and Respiration Monitoring System Based on Raspberry PI and ADAS1000: First Step towards Homecare Applications.” IFMBE Proceedings. Springer International Publishing. https://doi.org/10.1007/978-3-319-12967-9_2.","Abtahi, F. et al. (2015) “An Affordable ECG and Respiration Monitoring System Based on Raspberry PI and ADAS1000: First Step towards Homecare Applications,” IFMBE Proceedings. Springer International Publishing. Available at: https://doi.org/10.1007/978-3-319-12967-9_2.","Abtahi F, Aslamy B, Boujabir I, Seoane F, Lindecrantz K. An Affordable ECG and Respiration Monitoring System Based on Raspberry PI and ADAS1000: First Step towards Homecare Applications. IFMBE Proceedings 2015:5–8. https://doi.org/10.1007/978-3-319-12967-9_2."
"10.1109/ICCST53801.2021.00026","Liu, Zixin, et al. “Design and Realization of Dialect Interaction System Based on VAD.” 2021 International Conference on Culture-Oriented Science &amp; Technology (ICCST), IEEE, Nov. 2021. Crossref, https://doi.org/10.1109/iccst53801.2021.00026.","Liu, Z., Lei, L., Huang, X., Li, X., & Liu, H. (2021). Design and Realization of Dialect Interaction System Based on VAD. In 2021 International Conference on Culture-oriented Science &amp; Technology (ICCST). 2021 International Conference on Culture-oriented Science & Technology (ICCST). IEEE. https://doi.org/10.1109/iccst53801.2021.00026","Liu, Zixin, Ling Lei, Xinyu Huang, Xinyu Li, and Hongiian Liu. 2021. “Design and Realization of Dialect Interaction System Based on VAD.” 2021 International Conference on Culture-Oriented Science &amp; Technology (ICCST). IEEE. https://doi.org/10.1109/iccst53801.2021.00026.","Liu, Z. et al. (2021) “Design and Realization of Dialect Interaction System Based on VAD,” 2021 International Conference on Culture-oriented Science &amp; Technology (ICCST). 2021 International Conference on Culture-oriented Science & Technology (ICCST), IEEE. Available at: https://doi.org/10.1109/iccst53801.2021.00026.","Liu Z, Lei L, Huang X, Li X, Liu H. Design and Realization of Dialect Interaction System Based on VAD. 2021 International Conference on Culture-Oriented Science &amp; Technology (ICCST) 2021. https://doi.org/10.1109/iccst53801.2021.00026."
"10.1109/FIE49875.2021.9637135","Boudreaux, Madison, et al. “Integrating Programming and Engineering Concepts Using Raspberry Pi and Scratch.” 2021 IEEE Frontiers in Education Conference (FIE), IEEE, 13 Oct. 2021. Crossref, https://doi.org/10.1109/fie49875.2021.9637135.","Boudreaux, M., Wang, S., Andrei, S., Urbina, O., & Sisk, D. A. (2021). Integrating Programming and Engineering Concepts using Raspberry Pi and Scratch. In 2021 IEEE Frontiers in Education Conference (FIE). 2021 IEEE Frontiers in Education Conference (FIE). IEEE. https://doi.org/10.1109/fie49875.2021.9637135","Boudreaux, Madison, Sujing Wang, Stefan Andrei, Otilia Urbina, and Dorothy A. Sisk. 2021. “Integrating Programming and Engineering Concepts Using Raspberry Pi and Scratch.” 2021 IEEE Frontiers in Education Conference (FIE). IEEE. https://doi.org/10.1109/fie49875.2021.9637135.","Boudreaux, M. et al. (2021) “Integrating Programming and Engineering Concepts using Raspberry Pi and Scratch,” 2021 IEEE Frontiers in Education Conference (FIE). 2021 IEEE Frontiers in Education Conference (FIE), IEEE. Available at: https://doi.org/10.1109/fie49875.2021.9637135.","Boudreaux M, Wang S, Andrei S, Urbina O, Sisk DA. Integrating Programming and Engineering Concepts using Raspberry Pi and Scratch. 2021 IEEE Frontiers in Education Conference (FIE) 2021. https://doi.org/10.1109/fie49875.2021.9637135."
